id,name,category,address,phone,description,status,latitude,longitude,created_at,photo_url,photo_path,photo_taken_at
1,Pharmacie Centrale,PHARMACIE,,,,ACTIF,9.5323,-13.6885,2026-02-09 23:26:45.179687+00,https://aeetsakqivgvrzwxvcdr.supabase.co/storage/v1/object/public/poi-photos/poi/1/1770807566662.jpg,poi/1/1770807566662.jpg,2026-02-11 10:59:29.041+00
2,Hôpital National Donka,HOPITAL,"Route Donka, Conakry",,Grand hôpital public,ACTIF,9.53594,-13.68223,2026-02-10 00:14:15.34069+00,,,
3,Clinique Ambroise-Paré,HOPITAL,"Camayenne, Conakry",,Clinique,ACTIF,9.52953,-13.69007,2026-02-10 00:14:15.34069+00,https://aeetsakqivgvrzwxvcdr.supabase.co/storage/v1/object/public/poi-photos/poi/3/1770860290915.jpg,poi/3/1770860290915.jpg,2026-02-12 01:38:11.915+00
4,AGEBEF,HOPITAL,"Camayenne, Conakry",,Établissement de santé,ACTIF,9.53609,-13.68668,2026-02-10 00:14:15.34069+00,,,
5,Laboratoire St Joseph Camayenne,HOPITAL,"Camayenne, Conakry",,Laboratoire médical,ACTIF,9.53403,-13.68621,2026-02-10 00:14:15.34069+00,,,
6,Pharmacie Camayenne,PHARMACIE,995 Route de Donka,,Pharmacie de quartier,ACTIF,9.53481,-13.68575,2026-02-10 00:14:15.34069+00,,,
7,Pharmacie Camayenne Plage,PHARMACIE,"Camayenne Plage, Conakry",,Pharmacie proche corniche,ACTIF,9.53467,-13.68929,2026-02-10 00:14:15.34069+00,,,
8,Mosquée Fayçal,MOSQUEE,"Dixinn, Conakry",,Grande mosquée de Conakry,ACTIF,9.5331303,-13.68411,2026-02-10 00:14:15.34069+00,,,
9,Centre Islamique,MOSQUEE,"Camayenne, Conakry",,Centre religieux,ACTIF,9.534462,-13.685617,2026-02-10 00:14:15.34069+00,https://aeetsakqivgvrzwxvcdr.supabase.co/storage/v1/object/public/poi-photos/poi/9/1770815395334.jpg,poi/9/1770815395334.jpg,2026-02-11 13:10:00.243+00
10,Hôtel Palm Camayenne,HOTEL,"Corniche, Camayenne",,Hôtel de référence,ACTIF,9.53555,-13.68894,2026-02-10 00:14:15.34069+00,,,
